objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
1,Commuter Rail,750,FrontRunner,January,2017,SAT,Clearfield Station,FR301081,FR301081,275.375000000000000,255.375000000000000
2,Commuter Rail,750,FrontRunner,January,2017,WKD,Provo Central Station,FR801164,FR801164,1747.837954000000082,1751.650732999999946
3,Commuter Rail,750,FrontRunner,January,2017,WKD,Lehi Station,FR801159,FR801159,1179.170595000000048,1093.964435000000094
4,Commuter Rail,750,FrontRunner,January,2017,SAT,Lehi Station,FR801159,FR801159,262.416666700000007,253.416666699999979
5,Commuter Rail,750,FrontRunner,January,2017,WKD,South Jordan Station,FR198023,FR198023,815.457879800000001,805.738963199999944
6,Commuter Rail,750,FrontRunner,January,2017,WKD,Orem Central Station,FR801163,FR801163,1436.697762999999895,1352.305409999999938
7,Commuter Rail,750,FrontRunner,January,2017,SAT,South Jordan Station,FR198023,FR198023,209.500000000000000,196.250000000000000
8,Commuter Rail,750,FrontRunner,January,2017,SAT,North Temple Station,FR198030,FR198030,844.666666700000064,824.583333300000049
9,Commuter Rail,750,FrontRunner,January,2017,SAT,Woods Cross Station,FR301085,FR301085,194.833333300000021,170.333333300000021
10,Commuter Rail,750,FrontRunner,January,2017,WKD,American Fork Station,FR801160,FR801160,886.077466100000038,773.919150699999932
11,Commuter Rail,750,FrontRunner,January,2017,WKD,Roy Station,FR601085,FR601085,466.277116900000010,452.981228499999986
12,Commuter Rail,750,FrontRunner,January,2017,WKD,Draper Station,FR198022,FR198022,758.821009000000004,753.058703600000058
13,Commuter Rail,750,FrontRunner,January,2017,SAT,Murray Central Station,FR198021,FR198021,602.750000000000000,612.833333300000049
14,Commuter Rail,750,FrontRunner,January,2017,SAT,Orem Central Station,FR801163,FR801163,431.750000000000000,432.166666700000007
15,Commuter Rail,750,FrontRunner,January,2017,SAT,Layton Station,FR301082,FR301082,284.875000000000000,249.583333300000021
16,Commuter Rail,750,FrontRunner,January,2017,WKD,Farmington Station,FR301084,FR301084,519.406143700000030,488.113206699999978
17,Commuter Rail,750,FrontRunner,January,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1961.144041999999899,2217.891270999999961
18,Commuter Rail,750,FrontRunner,January,2017,SAT,Farmington Station,FR301084,FR301084,261.375000000000000,228.791666699999979
19,Commuter Rail,750,FrontRunner,January,2017,WKD,Ogden Central Station,FR601084,FR601084,1306.025319999999965,1480.647707000000082
20,Commuter Rail,750,FrontRunner,January,2017,SAT,Provo Central Station,FR801164,FR801164,937.583333300000049,1163.833333000000039
21,Commuter Rail,750,FrontRunner,January,2017,WKD,Pleasant View Station,FR601083,FR601083,39.143231329999999,42.407918609999996
22,Commuter Rail,750,FrontRunner,January,2017,WKD,Layton Station,FR301082,FR301082,789.526933299999996,749.638629799999990
23,Commuter Rail,750,FrontRunner,January,2017,WKD,Murray Central Station,FR198021,FR198021,1805.842609000000039,1856.810380000000123
24,Commuter Rail,750,FrontRunner,January,2017,SAT,Roy Station,FR601085,FR601085,216.208333300000021,187.458333300000021
25,Commuter Rail,750,FrontRunner,January,2017,SAT,American Fork Station,FR801160,FR801160,323.833333299999993,241.916666699999979
26,Commuter Rail,750,FrontRunner,January,2017,SAT,Ogden Central Station,FR601084,FR601084,786.416666700000064,810.458333300000049
27,Commuter Rail,750,FrontRunner,January,2017,WKD,Woods Cross Station,FR301085,FR301085,600.000787500000001,552.809832700000015
