objectid,mode,lineabbr,month_,year_,servicetype,avgboardings,city,county
12062,Commuter Rail,750,1,2017,SAT,6757.583333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12067,Commuter Rail,750,1,2017,WKD,17855.76412,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12054,Commuter Rail,750,2,2017,SAT,7195.133333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12049,Commuter Rail,750,2,2017,WKD,17747.47677,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12052,Commuter Rail,750,3,2017,SAT,8591.25,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12060,Commuter Rail,750,3,2017,WKD,17445.8653,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12064,Commuter Rail,750,4,2017,SAT,7705.6,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12051,Commuter Rail,750,4,2017,WKD,16963.46478,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12057,Commuter Rail,750,5,2017,SAT,6437.416667,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12065,Commuter Rail,750,5,2017,WKD,16428.21518,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12069,Commuter Rail,750,6,2017,SAT,7231.333333,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12066,Commuter Rail,750,6,2017,WKD,17067.47186,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12061,Commuter Rail,750,7,2017,SAT,6340.714286,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12050,Commuter Rail,750,7,2017,WKD,16785.53871,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
12063,Commuter Rail,750,8,2017,SAT,7348.5,"Midvale, SLC, Bluffdale, Woods Cross, Murray, Lindon, Roy, Millcreek, Sandy, Farmington, Orem, Clearfield, South Salt Lake, North Salt Lake, Centerville, Lehi, Layton, South Jordan, Sunset, Draper, Vineyard, Harrisville, Kaysville, American Fork, Ogden,","Davis, Salt Lake, Utah, Weber"
