objectid,mode,lineabbr,route,month_,year_,servicetype,stopname,stopabbrone,stopabbrtwo,avgboardings,avgalightings
25,Commuter Rail,750,FrontRunner,1,2017,SAT,American Fork Station,FR801160,FR801160,323.8333333,241.9166667
10,Commuter Rail,750,FrontRunner,1,2017,WKD,American Fork Station,FR801160,FR801160,886.0774661,773.9191507
1,Commuter Rail,750,FrontRunner,1,2017,SAT,Clearfield Station,FR301081,FR301081,275.375,255.375
30,Commuter Rail,750,FrontRunner,1,2017,WKD,Clearfield Station,FR301081,FR301081,844.8588267,793.604076
31,Commuter Rail,750,FrontRunner,1,2017,SAT,Draper Station,FR198022,FR198022,140.1666667,138.4166667
12,Commuter Rail,750,FrontRunner,1,2017,WKD,Draper Station,FR198022,FR198022,758.821009,753.0587036
18,Commuter Rail,750,FrontRunner,1,2017,SAT,Farmington Station,FR301084,FR301084,261.375,228.7916667
16,Commuter Rail,750,FrontRunner,1,2017,WKD,Farmington Station,FR301084,FR301084,519.4061437,488.1132067
15,Commuter Rail,750,FrontRunner,1,2017,SAT,Layton Station,FR301082,FR301082,284.875,249.5833333
22,Commuter Rail,750,FrontRunner,1,2017,WKD,Layton Station,FR301082,FR301082,789.5269333,749.6386298
4,Commuter Rail,750,FrontRunner,1,2017,SAT,Lehi Station,FR801159,FR801159,262.4166667,253.4166667
3,Commuter Rail,750,FrontRunner,1,2017,WKD,Lehi Station,FR801159,FR801159,1179.170595,1093.964435
13,Commuter Rail,750,FrontRunner,1,2017,SAT,Murray Central Station,FR198021,FR198021,602.75,612.8333333
23,Commuter Rail,750,FrontRunner,1,2017,WKD,Murray Central Station,FR198021,FR198021,1805.842609,1856.81038
8,Commuter Rail,750,FrontRunner,1,2017,SAT,North Temple Station,FR198030,FR198030,844.6666667,824.5833333
29,Commuter Rail,750,FrontRunner,1,2017,WKD,North Temple Station,FR198030,FR198030,2699.476444,2693.645606
26,Commuter Rail,750,FrontRunner,1,2017,SAT,Ogden Central Station,FR601084,FR601084,786.4166667,810.4583333
19,Commuter Rail,750,FrontRunner,1,2017,WKD,Ogden Central Station,FR601084,FR601084,1306.02532,1480.647707
14,Commuter Rail,750,FrontRunner,1,2017,SAT,Orem Central Station,FR801163,FR801163,431.75,432.1666667
6,Commuter Rail,750,FrontRunner,1,2017,WKD,Orem Central Station,FR801163,FR801163,1436.697763,1352.30541
21,Commuter Rail,750,FrontRunner,1,2017,WKD,Pleasant View Station,FR601083,FR601083,39.14323133,42.40791861
20,Commuter Rail,750,FrontRunner,1,2017,SAT,Provo Central Station,FR801164,FR801164,937.5833333,1163.833333
2,Commuter Rail,750,FrontRunner,1,2017,WKD,Provo Central Station,FR801164,FR801164,1747.837954,1751.650733
24,Commuter Rail,750,FrontRunner,1,2017,SAT,Roy Station,FR601085,FR601085,216.2083333,187.4583333
11,Commuter Rail,750,FrontRunner,1,2017,WKD,Roy Station,FR601085,FR601085,466.2771169,452.9812285
28,Commuter Rail,750,FrontRunner,1,2017,SAT,Salt Lake Central Station,FR101393,FR101393,985.8333333,989.3333333
17,Commuter Rail,750,FrontRunner,1,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1961.144042,2217.891271
7,Commuter Rail,750,FrontRunner,1,2017,SAT,South Jordan Station,FR198023,FR198023,209.5,196.25
5,Commuter Rail,750,FrontRunner,1,2017,WKD,South Jordan Station,FR198023,FR198023,815.4578798,805.7389632
9,Commuter Rail,750,FrontRunner,1,2017,SAT,Woods Cross Station,FR301085,FR301085,194.8333333,170.3333333
27,Commuter Rail,750,FrontRunner,1,2017,WKD,Woods Cross Station,FR301085,FR301085,600.0007875,552.8098327
57,Commuter Rail,750,FrontRunner,2,2017,SAT,American Fork Station,FR801160,FR801160,281.3833333,246.3666667
41,Commuter Rail,750,FrontRunner,2,2017,WKD,American Fork Station,FR801160,FR801160,884.7026777,789.9976916
54,Commuter Rail,750,FrontRunner,2,2017,SAT,Clearfield Station,FR301081,FR301081,308.5666667,295.45
35,Commuter Rail,750,FrontRunner,2,2017,WKD,Clearfield Station,FR301081,FR301081,844.5655598,778.7901481
36,Commuter Rail,750,FrontRunner,2,2017,SAT,Draper Station,FR198022,FR198022,167.9333333,191.5
53,Commuter Rail,750,FrontRunner,2,2017,WKD,Draper Station,FR198022,FR198022,778.9320243,748.9563938
61,Commuter Rail,750,FrontRunner,2,2017,SAT,Farmington Station,FR301084,FR301084,290.7833333,277.4333333
49,Commuter Rail,750,FrontRunner,2,2017,WKD,Farmington Station,FR301084,FR301084,489.8135456,470.4335157
62,Commuter Rail,750,FrontRunner,2,2017,SAT,Layton Station,FR301082,FR301082,315.7166667,290.5333333
59,Commuter Rail,750,FrontRunner,2,2017,WKD,Layton Station,FR301082,FR301082,763.208743,724.3317853
43,Commuter Rail,750,FrontRunner,2,2017,SAT,Lehi Station,FR801159,FR801159,310.75,317.5666667
48,Commuter Rail,750,FrontRunner,2,2017,WKD,Lehi Station,FR801159,FR801159,1145.976608,1071.258849
58,Commuter Rail,750,FrontRunner,2,2017,SAT,Murray Central Station,FR198021,FR198021,666.5166667,629.8
32,Commuter Rail,750,FrontRunner,2,2017,WKD,Murray Central Station,FR198021,FR198021,1800.895524,1860.797675
45,Commuter Rail,750,FrontRunner,2,2017,SAT,North Temple Station,FR198030,FR198030,815.7166667,756.6666667
40,Commuter Rail,750,FrontRunner,2,2017,WKD,North Temple Station,FR198030,FR198030,2599.975393,2608.632275
33,Commuter Rail,750,FrontRunner,2,2017,SAT,Ogden Central Station,FR601084,FR601084,844.6166667,868.5333333
34,Commuter Rail,750,FrontRunner,2,2017,WKD,Ogden Central Station,FR601084,FR601084,1301.481994,1466.830306
51,Commuter Rail,750,FrontRunner,2,2017,SAT,Orem Central Station,FR801163,FR801163,471.95,431.0666667
38,Commuter Rail,750,FrontRunner,2,2017,WKD,Orem Central Station,FR801163,FR801163,1481.715985,1391.030742
46,Commuter Rail,750,FrontRunner,2,2017,WKD,Pleasant View Station,FR601083,FR601083,35.40970072,37.64099361
37,Commuter Rail,750,FrontRunner,2,2017,SAT,Provo Central Station,FR801164,FR801164,992.9333333,1141.183333
55,Commuter Rail,750,FrontRunner,2,2017,WKD,Provo Central Station,FR801164,FR801164,1751.94741,1723.272027
47,Commuter Rail,750,FrontRunner,2,2017,SAT,Roy Station,FR601085,FR601085,205.1333333,201.4666667
50,Commuter Rail,750,FrontRunner,2,2017,WKD,Roy Station,FR601085,FR601085,452.6700354,433.5557287
42,Commuter Rail,750,FrontRunner,2,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1060.833333,1111.7
52,Commuter Rail,750,FrontRunner,2,2017,WKD,Salt Lake Central Station,FR101393,FR101393,1992.270931,2271.629087
44,Commuter Rail,750,FrontRunner,2,2017,SAT,South Jordan Station,FR198023,FR198023,233.9,218.0833333
56,Commuter Rail,750,FrontRunner,2,2017,WKD,South Jordan Station,FR198023,FR198023,826.61351,818.5594753
39,Commuter Rail,750,FrontRunner,2,2017,SAT,Woods Cross Station,FR301085,FR301085,228.4,214.3333333
60,Commuter Rail,750,FrontRunner,2,2017,WKD,Woods Cross Station,FR301085,FR301085,597.2971288,548.7506167
81,Commuter Rail,750,FrontRunner,3,2017,SAT,American Fork Station,FR801160,FR801160,389.4166667,333.5833333
65,Commuter Rail,750,FrontRunner,3,2017,WKD,American Fork Station,FR801160,FR801160,884.9836293,819.1909939
74,Commuter Rail,750,FrontRunner,3,2017,SAT,Clearfield Station,FR301081,FR301081,394.75,371.5833333
70,Commuter Rail,750,FrontRunner,3,2017,WKD,Clearfield Station,FR301081,FR301081,835.6034278,794.0340499
67,Commuter Rail,750,FrontRunner,3,2017,SAT,Draper Station,FR198022,FR198022,180.8333333,168.5
82,Commuter Rail,750,FrontRunner,3,2017,WKD,Draper Station,FR198022,FR198022,741.4689581,727.3195689
66,Commuter Rail,750,FrontRunner,3,2017,SAT,Farmington Station,FR301084,FR301084,387,358.75
75,Commuter Rail,750,FrontRunner,3,2017,WKD,Farmington Station,FR301084,FR301084,508.0317384,499.9350273
73,Commuter Rail,750,FrontRunner,3,2017,SAT,Layton Station,FR301082,FR301082,367.5833333,356.5833333
76,Commuter Rail,750,FrontRunner,3,2017,WKD,Layton Station,FR301082,FR301082,758.4031897,726.3237813
69,Commuter Rail,750,FrontRunner,3,2017,SAT,Lehi Station,FR801159,FR801159,322.4166667,320.25
83,Commuter Rail,750,FrontRunner,3,2017,WKD,Lehi Station,FR801159,FR801159,1117.056777,1058.264017
85,Commuter Rail,750,FrontRunner,3,2017,SAT,Murray Central Station,FR198021,FR198021,729.75,716
91,Commuter Rail,750,FrontRunner,3,2017,WKD,Murray Central Station,FR198021,FR198021,1755.666222,1774.251569
68,Commuter Rail,750,FrontRunner,3,2017,SAT,North Temple Station,FR198030,FR198030,1042.25,1062.333333
79,Commuter Rail,750,FrontRunner,3,2017,WKD,North Temple Station,FR198030,FR198030,2570.351628,2524.234204
86,Commuter Rail,750,FrontRunner,3,2017,SAT,Ogden Central Station,FR601084,FR601084,1080.833333,1136.5
78,Commuter Rail,750,FrontRunner,3,2017,WKD,Ogden Central Station,FR601084,FR601084,1323.083494,1509.132334
77,Commuter Rail,750,FrontRunner,3,2017,SAT,Orem Central Station,FR801163,FR801163,521.4166667,463.1666667
84,Commuter Rail,750,FrontRunner,3,2017,WKD,Orem Central Station,FR801163,FR801163,1346.728048,1237.183545
72,Commuter Rail,750,FrontRunner,3,2017,WKD,Pleasant View Station,FR601083,FR601083,35.89256739,39.49658385
87,Commuter Rail,750,FrontRunner,3,2017,SAT,Provo Central Station,FR801164,FR801164,1060,1223.5
92,Commuter Rail,750,FrontRunner,3,2017,WKD,Provo Central Station,FR801164,FR801164,1727.94825,1710.219764
90,Commuter Rail,750,FrontRunner,3,2017,SAT,Roy Station,FR601085,FR601085,280.25,251.75
64,Commuter Rail,750,FrontRunner,3,2017,WKD,Roy Station,FR601085,FR601085,470.8710194,452.8591757
63,Commuter Rail,750,FrontRunner,3,2017,SAT,Salt Lake Central Station,FR101393,FR101393,1313.916667,1284.333333
88,Commuter Rail,750,FrontRunner,3,2017,WKD,Salt Lake Central Station,FR101393,FR101393,2011.598595,2258.206382
89,Commuter Rail,750,FrontRunner,3,2017,SAT,South Jordan Station,FR198023,FR198023,234.3333333,246.6666667
80,Commuter Rail,750,FrontRunner,3,2017,WKD,South Jordan Station,FR198023,FR198023,773.7095979,765.9843436
93,Commuter Rail,750,FrontRunner,3,2017,SAT,Woods Cross Station,FR301085,FR301085,286.5,295.5
71,Commuter Rail,750,FrontRunner,3,2017,WKD,Woods Cross Station,FR301085,FR301085,584.4681598,551.4412159
99,Commuter Rail,750,FrontRunner,4,2017,SAT,American Fork Station,FR801160,FR801160,287.4,268.3
98,Commuter Rail,750,FrontRunner,4,2017,WKD,American Fork Station,FR801160,FR801160,855.2574534,783.7096109
107,Commuter Rail,750,FrontRunner,4,2017,SAT,Clearfield Station,FR301081,FR301081,307,279.2
105,Commuter Rail,750,FrontRunner,4,2017,WKD,Clearfield Station,FR301081,FR301081,769.5627481,730.6164316
123,Commuter Rail,750,FrontRunner,4,2017,SAT,Draper Station,FR198022,FR198022,159.3,163.2
106,Commuter Rail,750,FrontRunner,4,2017,WKD,Draper Station,FR198022,FR198022,722.3458941,705.5711447
121,Commuter Rail,750,FrontRunner,4,2017,SAT,Farmington Station,FR301084,FR301084,405.8,384.2
103,Commuter Rail,750,FrontRunner,4,2017,WKD,Farmington Station,FR301084,FR301084,535.4009774,516.6502997
110,Commuter Rail,750,FrontRunner,4,2017,SAT,Layton Station,FR301082,FR301082,327.9,322.6
111,Commuter Rail,750,FrontRunner,4,2017,WKD,Layton Station,FR301082,FR301082,753.9441667,717.631307
95,Commuter Rail,750,FrontRunner,4,2017,SAT,Lehi Station,FR801159,FR801159,348.8,353.3
117,Commuter Rail,750,FrontRunner,4,2017,WKD,Lehi Station,FR801159,FR801159,1114.391674,1062.134038
