Stop,Ridership,Downtown
Salt Lake Central Station,481,1
North Temple Station,420,1
State St / 400 S,264,1
100 S / Main St,224,1
South Temple / Main St,221,1
North Temple / 300 W,188,1
300 W / North Temple,149,1
State St / 150 S,143,1
200 S / 600 W,134,1
South Temple & West Temple,96,1
South Temple / 300 W,93,1
North Temple / State St,92,1
South Temple / 200 E,72,1
North Temple / 200 W,66,1
State St / 300 S,58,1
North Temple / 400 W,53,1
West Temple & South Temple,34,1
North Temple / Main St,30,1
400 W / 100 S,21,1
400 W / 300 S,20,1
North Temple / 150 W,18,1
Columbus Center,17,0
200 S / Rio Grande St,15,1
200 S / Main St,14,1
200 E / 150 S,14,1
200 S / State St,13,1
400 S @ 175 W,12,1
West Temple / 150 S,11,1
200 S / 200 E,10,1
Main St / North Temple,10,1
West Temple / North Temple,10,1
400 S @ 306 W,9,1
Columbus St / 500 N,7,1
400 S @ 285 W,7,1
200 E / South Temple,6,1
200 S / 300 W,5,1
400 S @ 198 W,5,1
200 S / West Temple,3,1
West Temple @ 282 S,3,1
Columbus St / 400 N,2,1
West Temple @ 305 S,2,1
West Temple / Broadway,1,1
300 W / 200 S,0,1
400 S / 200 E for Library Stn,0,1
300 W / 100 S,0,1
Salt Lake Central Station (Arrival),0,1
200 S / 200 W,0,1
300 W / South Temple for Arena,0,1
500 S / Main St for Courthouse,0,1
200 E @ 312 S,0,1
West Temple / South Temple,0,1
West Valley Central Station,1383,0
Murray Central Station,1144,0
Millcreek Station,1057,0
U Kennecott Building,513,0
U Union Building,496,0
Central Pointe Station,435,0
Fashion Place West Station,420,0
West Jordan City Center Stn,386,0
3500 S / Redwood Rd,359,0
400 S / Redwood Rd,355,0
SLCC Transit Center,353,0
Cottonwood St / Woodrow St,313,0
Redwood Rd / North Temple,310,0
U Medical Center Station,306,0
Olympus Cove P+R,292,0
University Hospital,286,0
3500 S / 8400 W,281,0
Midvale Fort Union Station,267,0
State St / 50 S,257,0
100 S / 150 E,229,0
U Presidents' Circle,202,0
Redwood Rd / 400 S,201,0
Meadowbrook Station,198,0
Redwood Rd / 3500 S,192,0
U Social Work Building,191,0
3500 S / 5600 W,190,0
3500 S / 4000 W,175,0
Redwood Rd / 1700 S,175,0
100 S / 500 E,175,0
3300 S / 1000 W,169,0
Foothill Dr / Wakara Way,167,0
Redwood Rd / Redwood Junction Stati,165,0
Stadium Station,161,0
1940. W North Temple Station,154,0
4100 S @ 1661 W,153,0
900 E / 3300 S,150,0
Highland Dr / 9400 S P+R,150,0
3900 S @ 71 W,148,0
Murray North Station,142,0
Brighton Resort,139,0
900 S / 1300 E,138,0
North Temple / 850 W,134,0
Redwood Rd / 5600 S,133,0
Redwood Junction Station,133,0
900 E / 2100 S,132,0
Redwood Rd / 700 N,129,0
Solitude Moonbeam Lodge,128,0
U South Campus Station,127,0
State St @ 3285 S,127,0
2100 S / 1700 E,124,0
2100 S / 500 E,122,0
Jordan Valley Station,121,0
200 S / 900 E,121,0
3500 S / 7200 W,120,0
U Warnock Engineering Building,120,0
California Ave / 900 W,119,0
Orange St Transit Center,118,0
Redwood Rd / 4100 S,115,0
Midvale Center Station,115,0
North Temple / 600 W,113,0
500 E / 400 S,112,0
900 W / 3600 S,105,0
Historic Sandy Station,104,0
200 S / 1100 E,102,0
900 S / 900 E,101,0
6200 S / 5700 W,101,0
Goldminer's Daughter Lodge,98,0
3300 S @ 911 E,97,0
North Temple St @ 1881 W,94,0
3500 S / 4800 W,94,0
300 W / 500 N,94,0
South Jordan Station,94,0
2100 S / 1100 E,93,0
Foothill Dr / Sunnyside Ave,93,0
3500 S / 8000 W,92,0
300 W / 1300 S,90,0
2100 S / State St,90,0
3500 S / 3600 W (Curbside EB),90,0
3500 S / 3600 W (Curbside WB),90,0
1000 N / Redwood Rd,89,0
900 E / 900 S,89,0
100 S / 300 E,89,0
Wasatch Blvd / 6200 S P+R,89,0
200 S / 1300 E,88,0
200 S / 700 E,88,0
State St @ 2085 S,87,0
Iron Blosam,86,0
900 E / Sugarmont Dr and Stn,85,0
3300 S @ 120 E,85,0
2100 S / 900 E,84,0
Redwood Rd / Bruin Blvd,83,0
State St / 250 S,82,0
State St @ 2154 S,80,0
900 W / 800 N,80,0
Redwood Rd / 5400 S,79,0
California Ave / Concord St,79,0
State St @ 3884 S,78,0
Redwood Rd @ 5595 S,78,0
Redwood Rd @ 3469 S,76,0
5400 S / Redwood Rd,75,0
900 S / 500 E,74,0
U Museum of Fine Arts,74,0
Meadowbrook Expwy @ 720 W,74,0
3300 S @ 1253 E,73,0
Mario Capecchi / South Campus,73,0
900 S / 200 E,73,0
3900 S @ 661 W,72,0
900 E / 3900 S,72,0
900 E / 4650 S,72,0
500 E / 3300 S,71,0
3300 S / 1200 W,70,0
Navajo St / Indiana Ave,70,0
2100 S / 1300 E,70,0
North Temple / 1550 W,70,0
State St @ 4489 S,70,0
South Temple / 1100 E / Q St,70,0
300 W / 300 N,68,0
900 S / State St,68,0
Redwood Rd @ 3538 S,68,0
2100 E / Hollywood Ave,67,0
State St @ 3330 S,67,0
5400 S / 4015 W,67,0
900 E / 4500 S,66,0
South Temple / 500 E / F St,65,0
3500 S / 3450 W,65,0
200 S / 1000 E,64,0
500 E / 2100 S,63,0
Redwood Rd / 7000 S,63,0
State St @ 910 S,62,0
State St @ 720 S,62,0
900 W / 700 N,62,0
Redwood Rd / 500 N,61,0
1000 N / 1400 W,61,0
South Temple / 900 E / M St,60,0
4000 W @ 4605 S,60,0
900 E / 5600 S,60,0
South Temple / 400 E / C St,59,0
400 S @ 409 W,58,0
Redwood Rd @ 4065 S,58,0
3300 S @ 511 E,58,0
Winchester/Fashion Place Mall,57,0
State St @ 1601 S,57,0
3500 S / 6400 W,56,0
South Temple / 700 E / J St,56,0
3300 S @ 49 E,56,0
200 S / 500 E,56,0
3300 S @ 490 E,56,0
100 S / 700 E,56,0
500 E / 500 S,56,0
4500 S / State St,55,0
5400 S / 4220 W,55,0
4000 W @ 3540 S,55,0
STATE ST @ 1498 S,55,0
State St @ 1730 S,55,0
3900 S @ 1085 E,54,0
South Temple / 300 E / B St,54,0
500 E / 3900 S,53,0
2100 S / 700 E,52,0
State St @ 3635 S,52,0
3900 S @ 505 E,51,0
3900 S @ 887 E,50,0
900 E / 5500 S,50,0
400 S / Rio Grande St,49,0
500 E / 300 S,48,0
5400 S / Warrior Way,48,0
700 W / Carlisle St,48,0
3900 S @ 301 E,48,0
900 E / 4750 S,48,0
Services for the Deaf and Visually ,47,0
200 S / 300 E,47,0
Redwood Rd / Parkway Blvd,47,0
3500 S / Decker Lake Dr,46,0
1950 W @ 299 N,46,0
California Ave / Emery St,46,0
South Temple / 1300 E / T St,46,0
Winchester St / State St,46,0
600 N / 1200 W,45,0
Fort Union Blvd @ 885 E,45,0
Redwood Rd / California Ave,45,0
200 S / 800 E,45,0
3500 S / 4400 W,44,0
3900 S @ 1275 E,44,0
3300 S @ 87 W,44,0
2100 E / 2100 S,43,0
500 E / 3700 S,43,0
900 E / 1700 S,43,0
State St @ 510 S,43,0
200 S / 400 E,43,0
500 E / 4100 S,42,0
South Salt Lake City Station,42,0
200 S / 600 E,42,0
3300 S / 1100 W,41,0
Creekside (Up),41,0
900 E / 800 S,41,0
3300 S @ 2285 E,41,0
Redwood Rd @ 5375 S,41,0
5400 S / 5600 W,41,0
3500 S / 3200 W,40,0
900 W / 400 S,40,0
State St @ 5223 S,40,0
Redwood Rd / 1800 S,40,0
400 S / 500 E,40,0
Chipeta Way / Colorow Way,40,0
3600 W / 3500 S,39,0
State St @ 820 S,39,0
900 S / 1000 E,39,0
500 E / 600 S,39,0
Big Cottonwood Canyon P+R (Up),39,0
Komas Dr @ 542 S,39,0
3300 S @ 3127 E,39,0
500 E / 900 S,39,0
900 S / 600 E,38,0
3300 S @ 298 E,38,0
900 S / 1100 E,38,0
State St @ 4801 S,38,0
500 S / VA Hospital,38,0
5400 S / 3200 W,37,0
2100 S / 200 E,37,0
900 W / California Ave,37,0
4015 W @ 5345 S,37,0
500 E / 4500 S,37,0
3300 S @ 225 E,37,0
State St @ 2705 S,37,0
Wakara Way / Komas Dr,37,0
700 N / Redwood Rd,37,0
Redwood Rd / 4150 S,37,0
2100 E / 1300 S,36,0
4700 S @ 3989 W,36,0
Draper Town Center Station,36,0
3900 S @ 2355 E,36,0
100 S / University St,36,0
400 S / Navajo St,35,0
3300 S @ 874 E,35,0
Redwood Rd @ 4450 S,35,0
Redwood Rd @ 6987 S,35,0
900 S / 300 E,35,0
1000 N / 900 W,35,0
3500 S / Pioneer Pkwy,35,0
500 E / 1300 S,35,0
State St @ 2979 S,35,0
900 E / 1300 S,35,0
1300 E @ 896 S,34,0
3900 S @ 85 E,34,0
3900 S @ 510 E,34,0
4500 S @ 877 E,34,0
Magna Library,34,0
State St @ 1495 S,34,0
Meadowbrook Expwy @ 1285 W,34,0
100 S / 400 E,33,0
5400 S / 5160 W,33,0
Redwood Rd / 5225 S,33,0
900 W / 800 S,33,0
Redwood Rd / 3400 S,32,0
1820 S / Bangerter Hwy,32,0
State St @ 2775 S,32,0
3300 S @ 198 E,32,0
3100 S / 8620 W,32,0
900 S / 800 E,32,0
3300 S @ 3301 E,32,0
State St @ 1285 S,31,0
Cottonwood Corporate Center,31,0
1460 W / North Temple,31,0
5400 S / Hew Wood Dr,31,0
900 S / 400 E,31,0
3300 S @ 1385 E,31,0
900 E / 200 S,31,0
Atherton Dr @ 834 W,31,0
3600 W / 3100 S,31,0
Redwood Rd / 2100 S,31,0
1000 N / Jordan River Pkwy,31,0
2100 S / 1200 E,30,0
