Stop,Ridership,Downtown
West Valley Central Station,1209,0
Murray Central Station,1071,0
Millcreek Station,898,0
U Kennecott Building,631,0
U Union Building,528,0
Salt Lake Central Station,513,1
North Temple Station,499,1
Midvale Fort Union Station,463,0
Brighton Resort,433,0
Solitude Moonbeam Lodge,423,0
Fashion Place West Station,406,0
Central Pointe Station,372,0
400 S / Redwood Rd,342,0
3500 S / Redwood Rd,340,0
West Jordan City Center Stn,317,0
200 S / Main St,312,1
University Hospital,300,0
U Presidents' Circle,291,0
Redwood Rd / North Temple,290,0
SLCC Transit Center,288,0
U Medical Center Station,286,0
Olympus Cove P+R,285,0
Historic Sandy Station,285,0
Highland Dr / 9400 S P+R,284,0
Wasatch Blvd / 6200 S P+R,272,0
Goldminer's Daughter Lodge,265,0
Redwood Rd / 3500 S,263,0
Iron Blosam,254,0
State St / 50 S,252,1
1940. W North Temple Station,240,1
Redwood Rd / Redwood Junction Stati,237,0
3500 S / 8400 W,235,0
U Social Work Building,234,0
200 S / State St,226,1
Stadium Station,201,0
Redwood Rd / 5600 S,195,0
North Temple / 300 W,189,1
3300 S / 1000 W,189,0
Redwood Rd / 400 S,184,0
State St / 150 S,183,1
900 S / 1300 E,181,0
Redwood Rd / 4100 S,167,0
State St / 400 S,164,1
Meadowbrook Station,164,0
Redwood Rd / 1700 S,162,0
Orange St Transit Center,158,0
Foothill Dr / Wakara Way,157,0
3500 S / 5600 W,155,0
200 S / 600 W,153,1
U Warnock Engineering Building,150,0
3900 S @ 71 W,148,0
200 S / 900 E,147,0
U South Campus Station,147,0
200 S / 500 E,146,0
North Temple / 850 W,142,0
4100 S @ 1661 W,138,0
Murray North Station,136,0
3500 S / 4000 W,135,0
900 S / 900 E,132,0
300 W / North Temple,130,1
Redwood Rd / 700 N,130,0
3300 S / 900 E,123,0
200 S / 400 E,123,0
Redwood Rd / Bruin Blvd,122,0
200 S / 1100 E,122,0
2100 S / 1700 E,118,0
900 E / 3300 S,117,0
900 E / 2100 S,115,0
500 E / 400 S,115,0
200 S / 300 E,114,0
Big Cottonwood Canyon P+R (Up),111,0
Foothill Dr / Sunnyside Ave,111,0
California Ave / 900 W,110,0
200 S / 700 E,108,0
North Temple / 600 W,107,0
3500 S / 7200 W,106,0
900 W / 3600 S,105,0
2100 S / 500 E,105,0
3900 S @ 1085 E,104,0
3300 S / State,103,0
200 S / 600 E,103,0
Redwood Rd / 5400 S,102,0
Jordan Valley Station,101,0
Midvale Center Station,99,0
State St @ 3285 S,98,0
Redwood Rd / 7000 S,94,0
California Ave / Concord St,93,0
U Museum of Fine Arts,92,0
300 W / 300 N,90,0
North Temple / State St,89,1
300 W / 500 N,89,0
Mario Capecchi / South Campus,87,0
200 S / 1300 E,86,0
6200 S / 5700 W,85,0
State St / 300 S,84,1
Creekside (Down),84,0
900 E / 900 S,84,0
3500 S / 3600 W (Curbside WB),84,0
3300 S / 500 E,84,0
900 S / 200 E,82,0
900 E / 4500 S,80,0
1000 N / Redwood Rd,79,0
300 W / 1300 S,79,0
200 S / 1000 E,79,0
900 W / 800 N,78,0
3500 S / 4800 W,78,0
3500 S / 3600 W (Curbside EB),78,0
3500 S / 8000 W,77,0
200 S / 200 E,76,1
200 S / 300 W,76,1
3900 S @ 661 W,75,0
200 S / West Temple,75,0
Navajo St / Indiana Ave,75,0
Services for the Blind and Visually ,74,0
South Temple / 300 E / B St,73,0
900 S / 500 E,72,0
Redwood Rd / California Ave,72,0
2100 S / 900 E,71,0
State St @ 2085 S,71,0
900 S / State St,71,0
Redwood Rd / 500 N,70,0
900 E / 3900 S,70,0
State St / 250 S,68,1
South Temple / 1100 E / Q St,68,0
1000 N / 1400 W,68,0
South Temple / 500 E / F St,68,0
2100 S / State St,68,0
3500 S / 3450 W,66,0
5400 S / 4015 W,66,0
South Jordan Station,66,0
South Temple / 900 E / M St,66,0
400 S / Cheyenne St,66,0
2100 S / 1300 E,65,0
State St @ 3884 S,64,0
South Temple / 700 E / J St,64,0
500 E / 3300 S,63,0
Redwood Rd / 3400 S,63,0
Redwood Rd / Parkway Blvd,63,0
State St @ 2154 S,62,0
2100 E / Hollywood Ave,62,0
500 E / 500 S,61,0
900 E / 5600 S,60,0
5400 S / Redwood Rd,60,0
400 S / 400 E,60,0
500 E / 2100 S,60,0
South Temple / 400 E / C St,60,0
Winchester St / State St,59,0
North Temple / 200 W,57,1
State St @ 720 S,57,0
Redwood Rd / 5225 S,57,0
3300 S / 1200 W,57,0
900 E / 4750 S,56,0
400 S / Rio Grande St,56,0
North Temple / 1550 W,56,0
STATE ST @ 1498 S,56,0
Winchester/Fashion Place Mall,55,0
State St @ 4489 S,54,0
Meadowbrook Expwy @ 720 W,54,0
900 E / 4650 S,53,0
Redwood Rd / 4150 S,52,0
900 E / Sugarmont Dr and Stn,52,0
North Temple / 400 W,51,1
400 S @ 409 W,51,0
900 S / 1100 E,51,0
State St @ 910 S,51,0
State St @ 1601 S,50,0
Highland Dr / 2100 S,49,0
900 W / 700 N,48,0
200 S / 800 E,48,0
3900 S @ 887 E,47,0
State St @ 3330 S,47,0
3300 S / 2300 E,47,0
3300 S / 300 E,47,0
Creekside (Up),47,0
2100 S / 700 E,47,0
2100 E / 1300 S,46,0
500 S / VA Hospital,46,0
3600 W / 3500 S,45,0
500 E / 3900 S,45,0
State St @ 1730 S,45,0
2100 E / 2100 S,45,0
900 E / 5500 S,45,0
Redwood Rd / 4000 S,44,0
State St @ 1495 S,44,0
4000 W @ 4605 S,44,0
100 S / University St,44,0
3900 S @ 1275 E,43,0
600 N / 1200 W,43,0
3500 S / 3200 W,43,0
5400 S / Warrior Way,42,0
5400 S / 4220 W,42,0
State St @ 3635 S,42,0
900 S / 300 E,42,0
Brighton Store (Down),42,0
3900 S @ 2355 E,42,0
500 E / 3700 S,41,0
Komas Dr @ 542 S,41,0
3600 W / 2150 S,41,0
3900 S @ 505 E,41,0
3300 S / Highland Dr,41,0
Redwood Rd / 1900 S,40,0
California Ave / Emery St,40,0
900 S / 400 E,40,0
South Salt Lake City Station,40,0
South Temple / 1300 E / T St,40,0
1000 N / 900 W,40,0
4000 W @ 3540 S,40,0
500 E / 900 S,40,0
Redwood Rd / 500 S,39,0
Redwood Rd / 6200 S,39,0
3500 S / Decker Lake Dr,39,0
500 E / 4500 S,38,0
Foothill Dr @ 2245 S,38,0
Redwood Rd / 1100 S,38,0
500 E / 600 S,38,0
Redwood Rd / Indiana Ave,38,0
4500 S / State St,37,0
Redwood Rd / 7800 S,37,0
900 W / 400 S,37,0
3300 S / State St,37,0
5400 S / 5600 W,36,0
Little Cottonwood Rd @ 3142 E(P&R),36,0
