Route,Frequency,Length,Speed,Bus_Connect,TRAX_Connect,FrontRunner_Connect,Is_Downtown,Is_University,Is_Flex,Is_SL_County,Is_BRT,Main_Cities_PW_Density
1,15,11.2,10.8,17,2,1,1,1,0,1,0,6465
2,15,4.6,9,14,2,1,1,1,0,1,0,6465
4,30,12.1,11.3,23,3,0,1,1,0,1,0,6465
9,15,10.6,12.2,16,4,0,0,1,0,1,0,6465
F11,60,4.5,14.2,8,0,0,0,1,1,1,0,6465
17,60,8,10,11,4.5,0,0,1,0,1,0,6465
21,15,8.5,12.7,10,4.5,0,0,1,0,1,0,6465
33,15,6.7,15.4,10,2,0,0,0,0,1,0,5817
35,15,15.8,13.7,11,3,0,0,0,0,1,0,6326
39,30,11.4,14.3,18,3,0,0,1,0,1,0,5817
45,30,8.5,17.5,12,2,1,0,0,0,1,0,5407
47,30,14.9,13,14,3,1,0,1,0,1,0,6326
54,30,10.4,15.2,10,2,1,0,0,0,1,0,6293
62,60,10.9,21.8,8,2,0,0,0,0,1,0,6293
72,30,6.1,15.3,5,1,0,0,0,0,1,0,5066
F94,30,3.5,10.4,2,1,0,0,0,1,1,0,4777
200,15,11.8,11.8,22,5.5,2,1,0,0,1,0,6465
201,60,9.3,15.1,13,3,2,0,0,0,1,0,4991
F202,30,6.3,15.8,7,2,1,0,0,0,1,0,5079
205,30,14.3,10.2,20,6.5,0,1,0,0,1,0,6465
209,15,16,13.5,20,5,1,1,0,0,1,0,6465
213,30,15.6,12.2,16,2,0,0,1,0,1,0,6465
217,15,12.8,13.7,17,3,0,0,1,0,1,0,6465
218,60,7.6,13.4,5,1,1,1,0,0,1,0,4749
220,30,17,14.2,18,3,1,1,1,0,1,0,6465
223,60,18.4,13,21,2,1,1,1,0,1,0,6465
227,60,6.9,20.7,11,2,0,0,0,0,1,0,5387
F232,30,7.8,21.2,13,2,0,0,0,1,1,0,5387
240,30,11.6,16.2,14,2,0,0,0,0,1,0,5387
248,60,15,17.3,10,2,0,0,0,0,1,0,5387
451,82.5,38.7,28,10,3,1,1,0,0,0.5,0,3397
F453,83.5,37.4,27,10,3,0,1,0,1,0.5,0,3397
455,30,50.7,17.7,24,3,2,1.5,2,0,0.5,0,4911
470,30,41.6,14.6,25,3,2,1.5,0,0,0.5,0,4911
472,113.6,33.3,32.2,9,3,0,1,0,0,0.5,0,2904
473,68.33,47.6,21.2,23,3,2,1.5,2,0,0.5,0,4911
509,30,14.2,17.4,12,2,1,1,0,0,1,0,6465
513,172,17.4,16.3,15,2,1,1,0,0,1,0,6465
F514,30,7.2,18.1,4,1,2,0,0,1,1,0,4136
F525,30,5.4,18,7,2,0,0,0,1,1,0,5893
551,79.7,10.5,19.7,6,1,0,0,0,0,0,0,6465
F556,30,8.7,21.7,5,0,0,0,0,1,1,0,6326
F570,30,7.7,19.2,7,2,0,0,0,1,1,0,5220
F578,30,7.3,19.1,8,2,0,0,0,1,1,0,5220
F590,30,6,16.4,7,2,0,0,0,1,1,0,5220
601,20,2.1,8.4,10,0,1,0.5,0,0,0,0,4911
602,10,0.8,9.7,1,0,0,0,1,0,0,1,4911
603X,10,5.4,12.5,12,0,1,0.5,1,0,0,1,4911
604,60,14.7,22.1,12,0,2,0.5,0,0,0,0,4911
612,15,16.6,16.1,10,0,0,0.5,0,0,0,0,4911
613,60,9.7,25.3,9,0,1,0.5,0,0,0,0,4911
F618,30,11.6,24,8,0,1,0.5,0,1,0,0,4911
F620,30,8.6,24.6,11,0,2,0.5,0,1,0,0,4911
625,60,16.4,21.4,5,0,0,0,1,0,0,0,4911
626,60,10,22.2,5,0,1,0,0,0,0,0,4740
627,60,13.8,21.8,4,0,1,0,0,0,0,0,3973
628,30,8.3,16.7,4,0,2,0,0,0,0,0,3973
630,60,25.6,28.4,13,0,1,0.5,0,0,0,0,3056
F638,60,7.6,13,1,0,0,0,0,1,0,0,3056
640,30,21.3,15.2,11,0,1,0,1,0,0,0,4845
645,60,13.4,16.4,5,0,0,0,1,0,0,0,3973
667,30,3.5,14.1,1.5,0,1,0,0,0,0,0,2509
805,65.55,31.2,31.2,10,0,1,0,1,0,0,0,3655
806,96.71,29.2,29.7,8,0,1,0,1,0,0,0,3474
807,87.86,22,22.8,10,0,1,0,1,0,0,0,3580
821,30,22.2,25.1,8,0,1,0,0,0,0,0,3649
822,95.86,27.6,22.7,8,0,0,0,1,0,0,0,3649
830X,6,12.2,16.6,12,0,2,0.5,2,0,0,1,6926
831,30,14.1,14.6,10,0,2,0.5,2,0,0,1,6926
833,60,6.5,23,6,0,1,0.5,0,0,0,0,7861
834,30,13.2,18.9,9,0,2,0.5,1,0,0,0,6804
850,15,22.7,16.2,11,0,2,0.5,1,0,0,0,6926
862,30,14.6,18.3,8,0,1,0,1,0,0,0,5828
871,60,12.4,24.8,7,1,1,0,0,0,0.5,0,3845
