station,Ridership,Downtown
Clearfield Station,552,0
Power Station,455,0
Salt Lake Central Station,1916,1
American Fork Station,552,0
Central Pointe Station,3367,0
Decker Lake Station,280,0
Murray Central Station,3298,0
Jackson/Euclid Station,928,0
1940 W. North Temple Station,847,0
MRSC OPERATOR RELIEF,3,0
4800 W. Old Bingham Hwy Station,319,0
Ballpark Station,1939,0
Fairpark Station,485,0
Gallivan Plaza Station,1312,1
Sugarmont Station,125,0
Library Station,1097,1
Airport Station,1299,0
West Valley Central Station,1245,0
Old Greektown Station,358,1
South Salt Lake City Station,143,0
Temple Square Station,758,1
Crescent View Station,245,0
500 East Station,105,0
JORDAN RIVER SERVICE CENTER RELIEF,4,0
Sandy Civic Center Station,324,0
North Temple Station,3086,1
Provo Central Station,1768,0
Meadowbrook Station,974,0
Kimballs Lane Station,130,0
900 East Station,673,0
Courthouse Station,3382,1
Planetarium Station,543,1
Stadium Station,1550,0
Woods Cross Station,453,0
2700 W. Sugar Factory Rd Station,203,0
700 East Station,120,0
Historic Sandy Station,440,0
University South Campus Station,684,0
Historic Gardner Station,147,0
Arena Station,1480,1
Daybreak Parkway Station,973,0
300 East Station,89,0
Roy Station,387,0
City Center Station,2244,1
600 South Station,1184,0
South Jordan Station,577,0
Jordan Valley Station,319,0
Midvale Center Station,425,0
Millcreek Station,1194,0
900 South Station,1279,0
Sandy Expo Station,161,0
Draper Station,532,0
Redwood Junction Station,457,0
Trolley Station,1340,0
Orem Central Station,1022,0
Fashion Place West Station,1328,0
Midvale Fort Union Station,566,0
Fort Douglas Station,655,0
Draper Town Center Station,481,0
Bingham Junction Station,272,0
Layton Station,520,0
River Trail Station,221,0
University Medical Center,1110,0
Vineyard Station,366,0
Farmington Station,508,0
Ogden Central Station,1133,0
South Jordan Parkway Station,133,0
West Jordan City Center Station,397,0
5600 W. Old Bingham Hwy Station,118,0
Murray North Station,725,0
Lehi Station,968,0
Fairmont Station,342,0
