Route,Ridership
862,214792
833,27145
822,45562
39,647917
613,55660
240,348065
509,310401
213,335878
F525,48545
72,164195
1,909496
F618,51001
513,18511
9,766935
209,923670
4,386863
604,105467
473,68757
667,114051
470,1037959
603X,1253196
871,43518
602,226218
218,92970
201,133092
F453,25271
806,22748
675,26512
F620,39413
676,2360
F514,56539
200,1032329
2,508768
630,138642
805,30803
830X,2592046
45,282922
62,72968
821,258922
880,11460
640,224885
F570,67375
831,350084
F232,77126
F638,7802
994,169656
227,40255
205,651321
451,47662
54,386463
612,726238
47,510010
217,1339248
17,63759
220,406864
455,437996
628,155914
807,19732
606,101
F578,83363
627,89478
35,1469841
F94,80132
625,80877
223,168986
626,63503
F11,23522
F202,54238
677,21427
248,67858
551,73336
601,34405
834,174329
472,31708
674,34223
972,222069
F590,54002
21,765907
33,607557
850,963176
645,63150
F556,84795
