Route,Ridership
72,164195
628,155914
54,386463
972,222069
831,350084
676,2360
217,1339248
613,55660
703,6244332
1,909496
4,386863
602,226218
850,963176
833,27145
834,174329
F11,23522
39,647917
F620,39413
455,437996
513,18511
473,68757
F638,7802
720,545082
677,21427
626,63503
472,31708
220,406864
627,89478
201,133092
625,80877
640,224885
F618,51001
606,101
F453,25271
701,4753531
880,11460
601,34405
45,282922
9,766935
675,26512
451,47662
470,1037959
F570,67375
62,72968
F514,56539
994,169656
21,765907
227,40255
603X,1253196
47,510010
750,5027173
213,335878
F202,54238
205,651321
F94,80132
604,105467
806,22748
200,1032329
674,34223
F556,84795
248,67858
822,45562
F232,77126
F590,54002
645,63150
33,607557
509,310401
805,30803
240,348065
830X,2592046
871,43518
667,114051
2,508768
35,1469841
551,73336
630,138642
F525,48545
F578,83363
807,19732
821,258922
862,214792
612,726238
223,168986
218,92970
17,63759
209,923670
704,5260696
